feature,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
V1,1.8466398843031016e-05,0.0014288145630698,0.0,0.0,0.0064669109721922,2.2831371611114196e-20,0.0020541307281307,0.0001779588937162,1.9646219960969534e-19,3.298359609485534e-18
V2,1.1287128712811267e-06,0.0013870013263674,0.002051282051282,0.0,0.1855574901390593,1.476722145422977e-20,0.0009201618964217,0.0002762062727939,4.534246617166935e-18,2.1763884689961656e-18
V3,7.321157416227291e-06,0.0015202144024732,0.0,0.0,0.1495339735297871,1.1590550247432304e-21,0.0012582086824087,0.0003770956935912,1.1065976619980398e-18,7.114055819372638e-18
V4,3.56673012691549e-05,0.0014424216129982,0.0,0.0,0.004841065989363,3.0026694557736024e-20,0.0014460146705985,0.0002262996858797,1.6282415346733835e-18,1.2824260788621137e-18
V5,2.530621874897331e-05,0.0030276513525291,0.0,0.0,15.874614463835035,0.0026046742204717,0.0223064274976002,0.0035355520211932,0.10770034957777087,0.8543331443147257
V6,4.827220923925535e-05,0.0016369441402057,0.0,0.0,0.3942831467165203,0.0040622454573173,0.0068415577453798,0.0010681225906935,0.028011711772140516,0.1868632910365986
V7,1.064051789794411e-05,0.0020002202494838,0.0069661889910437,0.0,1.8010518142595275,4.4954800845739495e-22,0.0019203581665843,0.0002701478153612,1.9192569584236985e-18,2.806254349241918e-18
V8,0.0001066030123722,0.0007304634487991,0.0,0.0039567946883394,0.0069801732090153,8.283356094243595e-20,0.0005766272189352,0.0001238877137888,1.7041250710027105e-19,4.3934723796573084e-18
V9,1.270007539971568e-05,0.0014175386051403,0.0053916083916083,0.0,0.0192190750267326,0.0003505685755409,0.0008483481043518,6.447117198195927e-05,0.005358401966168801,0.041016523338294475
V10,2.710263681006365e-05,0.0011652599699448,0.0,0.0,0.1677640800805207,2.4609593938901062e-20,0.0020484957996547,3.0923205698979807e-06,0.00025155491369609667,4.710309031678896e-19
V11,5.080099009901704e-05,0.0023524832041222,0.0,0.0047588172860576,15.454827565738707,0.000758489322472,0.0168104808073111,0.0022165213383205,0.027593598564681354,0.20175815977757278
V12,6.914969412508574e-07,0.0018223068588205,0.0,0.0026453232917606,0.1517579147709991,2.027463580892037e-21,0.0056390995258361,0.0001332687751322,3.1513503463306733e-18,8.969556963095632e-18
V13,7.51768638402436e-06,0.0014963919010603,0.0,0.0,3.593653805947345,3.2833650996687104e-21,0.0016056876110693,1.269982260277518e-05,1.7004415637155866e-18,1.8332441894848594e-18
V14,8.084155676216891e-06,0.0017523952239921,0.0,0.0,0.2128222836095764,2.780513480904685e-21,0.0016805777367441,0.0003874508522932,2.338453765788648e-19,2.2695502801398717e-18
V15,2.7657925397574616e-05,0.001271812414326,0.0,0.0,0.2202773602788672,3.966423232522803e-20,0.0019278076824514,0.0001720063236755,8.619378905378976e-19,1.0208005946802074e-17
V16,1.949527164256787e-05,0.0018730277147318,0.0,0.0,0.5450645430608182,2.14350441233581e-21,0.0011018936278233,5.937439305201249e-05,1.2666501007963881e-05,2.604463866765471e-18
V17,4.100853335275295e-05,0.0010728616561854,0.0041045298078637,0.0,0.1290799817298376,6.414895169444361e-21,0.0028624349642895,0.0007190136412264,3.9402247358264876e-19,0.002381023770798312
V18,1.2032012631689596e-06,0.0018710801209247,0.0,0.0054057327592175,7.767231603311947e-05,8.047351453953334e-05,0.0006044585711363,6.755412665870105e-05,0.0023839073938974327,0.020130947622791395
V19,1.7841485247419612e-05,0.0022663535506715,0.0,0.0,2.369781664384971,4.3878435984368456e-05,0.003681316703098,0.0003919441071378,1.3195226592129815e-18,3.9345315421092404e-18
V20,1.696387108100036e-05,0.0014797081410717,0.0,0.0033370431014249,0.1400833786478158,0.001849030592991,0.0003948895601882,0.0003258059547832,0.018670709837279965,0.1349792332883438
V21,1.7183952047474772e-05,0.0017575387344243,0.0015333161821456,0.0037548503977472,0.0082571428571428,1.732042981976958e-20,0.0013049999075706,3.02846697446704e-05,5.511568314445818e-19,5.3983760999584195e-18
V22,1.1622556486486224e-06,0.0015219859449674,0.0,0.0,0.0163551347344167,5.2195710921010416e-21,0.0014855049822296,0.0002507167336944,1.9820250124053377e-19,8.433966185831291e-18
V23,1.9428925939404105e-06,0.0014311695051346,0.0,0.0,0.0095889913440003,2.9598193985010624e-20,0.0006321568617857,0.0001441883040958,1.0922899600640284e-18,4.268703160129644e-18
V24,3.630343746500387e-05,0.0020111130832915,0.0,0.0,0.2746071166353055,0.0009819607860491,0.0033468897099987,0.0009100345776749,0.009588484505324506,0.07757490209788581
V25,1.8133044554459115e-05,0.0018596873760313,0.0024615384615384,0.0,3.642772823422784,4.912050878405762e-06,0.0048448671934501,4.373771188002087e-07,1.2994241794799022e-18,0.0015276478231841897
