feature,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
V1,0.0025047080979284,0.0032595252778076,0.0,0.0,352.68741278384914,1.2657852657280812e-15,0.0018518518518518,0.0002655734924648,2.268271646582551e-16,5.320416725173888e-16
V2,0.0005712492153171,0.0028919042787593,0.0198057536197912,0.0166140718087655,322.7248310730072,1.2657852657280812e-15,0.000119271814187,0.0001041727834238,3.8499416944933245e-16,5.320416725173888e-16
V3,0.0002448210922787,0.0040367211937679,0.0054849599626978,0.0,304.2467625857723,1.2657852657280812e-15,3.7664783427515945e-05,9.260372283254696e-05,8.348627973486602e-16,5.320416725173888e-16
V4,0.0001757689893282,0.0049437034951648,0.0,0.0043266242607479,256.11964497325715,1.2657852657280812e-15,0.0002762084118016,0.0001440146434704,9.26719285884276e-16,5.320416725173888e-16
V5,0.0001820464532328,0.0051121449439954,0.0012206383442666,0.0,212.8238107593996,1.2657852657280812e-15,6.277463904573875e-05,0.00023466810266,2.568405690158035e-16,5.320416725173888e-16
V6,0.0003013182674199,0.0047554762886317,0.0006975076252952,0.0,204.91556418851576,1.2657852657280812e-15,0.0001757689893282,5.322402877386201e-05,1.1372265235435225e-15,5.320416725173888e-16
V7,0.0003264281230383,0.0078600667395894,0.0102620371018351,0.0206660885314846,202.331134147594,1.2657852657280812e-15,0.0001255492780915,0.0001064384447134,1.752188786657129e-16,5.320416725173888e-16
V8,0.000841180163214,0.0077978706608781,0.0151543062883585,0.0137861412773298,207.25553008021237,1.2657852657280812e-15,0.0006465787821719,0.0002254827784744,1.0959543886723006e-16,5.320416725173888e-16
V9,0.0044507219083489,0.0083893754533595,0.0,0.0007370344418296,189.2136494347685,1.2657852657280812e-15,0.0014940364092905,0.0001596694079213,4.851238310674e-17,5.320416725173888e-16
V10,0.0008223477715003,0.0067210066440887,0.0046465261957056,0.0,168.090874950299,0.0056656231126494,0.0004833647206528,0.000768220736225,0.005838649852094606,0.005665601226501838
V11,0.0012931575643441,0.0060569060943105,0.0019029438802926,0.0008985628134777,144.87588607381147,1.2657852657280812e-15,0.0001569365976144,0.0003781044626998,3.3625902826040057e-16,5.320416725173888e-16
V12,0.0006779661016948,0.0055213026157326,0.0288630133844468,0.0349555111019962,135.24859736337058,1.2657852657280812e-15,0.000389202762084,7.366532485867179e-05,6.815804685433055e-16,5.320416725173888e-16
V13,0.0007030759573132,0.0040689669203826,0.0018929283861858,0.0020040799166589,119.97886908278429,1.2657852657280812e-15,2.5109855618383374e-05,3.121018905600973e-06,1.438895299163215e-17,5.320416725173888e-16
V14,0.0004582548650345,0.0043647367325562,0.0,0.0,116.23507019167056,1.2657852657280812e-15,0.000765850596359,7.217716438289408e-05,2.7458925140010714e-16,5.320416725173888e-16
V15,0.0005021971123666,0.005753191534298,0.0032692749748287,0.0,176.8394042966211,0.0060223602648049,6.905210295039775e-05,0.0006344778733236,0.0029367107408226558,0.006014493391293799
