feature,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
BrdIndx,0.0003191481197152,0.0026726381478843,0.0,0.0,4396.094284072693,1.8512862446747103e-16,8.276098887550522e-05,0.0004515214055653,5.339398968520344e-16,5.090573251716664e-16
Area,1.401005733648039e-07,0.0079034973133673,0.0,0.0,28869.51880279756,1.3552636127403825e-18,0.0038423040482343,0.000199895075919,8.73320290972283e-05,0.000591296348442404
Round,4.411929443595631e-05,0.0014558247378489,0.0,0.0043150315955993,2355.3729501756497,5.443377906291387e-18,0.0033684713641076,0.000191340690472,3.587129004916227e-16,2.659289460371099e-16
Bright,9.605274221980688e-05,0.016747411691842,0.0,0.0027849017565814,59238.92040471626,0.0001450156386828,0.0123093722683235,0.0040824728583249,0.000619287762314619,0.002410802119723447
Compact,3.464281912061166e-05,0.0018512561466952,0.0,0.0,4825.658370317206,0.0037389171903539,0.000366258064516,0.0002110999561151,0.0016902109003867013,2.438617833540296e-15
ShpIndx,0.0002037008701738,0.0031659186718104,0.0,0.0,4980.307087457411,2.435934763581019e-16,0.0006941337717727,0.0002151674582934,3.8057038737988663e-16,4.568579318723258e-16
Mean_G,0.00021210870943,0.0183940326476002,0.0016109302616413,0.2070515143196458,41261.184821846495,0.0059080473506785,0.0413480485813596,0.0123514584670511,0.32303592080890947,1.4505084063430245
Mean_R,9.993494521577704e-05,0.0262151188213011,0.0544533568802099,0.03224727361841,60592.37972225936,0.0011331851361742,0.010501038354812,0.0047451869120157,0.10189998319377637,0.28879106899472273
Mean_NIR,0.0001012972367757,0.0277495576466261,0.0,0.0482312817720364,59749.77629468528,2.8469383070321956e-18,0.0142838275076546,0.0029883217018798,0.0006158180419972747,2.2785826681840138e-15
SD_G,8.242551544355875e-05,0.0088119825269241,0.0025762703239103,0.0,30368.8646621757,1.0238761231572881e-16,0.0120205448043705,0.0007268878527052,7.006485760256646e-16,6.742126363296365e-15
SD_R,9.644769707977215e-05,0.0041100470286441,0.0,0.0,26163.00236453683,0.000992659469373,0.0095118563686033,0.0011379824572511,0.004318828334205177,1.5065775198004134e-15
SD_NIR,0.00015471820338,0.0059966038025587,0.037313268287399,0.0,23658.81143273911,7.373216280457722e-17,0.0060849340787209,0.00017789971767,3.5595257835326644e-17,4.421318903608371e-15
LW,4.536679447220057e-06,0.0013693456295466,0.0,0.0,3139.362053395217,1.9494838091581494e-16,0.0025654450765211,4.38272441959257e-06,4.678386341782708e-16,8.74321856736445e-15
