word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class,Selected
< 0.075,0.075 - 1.77,0.235 - 1.93,< 0.155,0.01 - 0.345,< 0.075,< 0.01,< 0.015,< 0.045,< 0.045,< 0.045,0.245 - 0.985,< 0.105,< 0.045,< 0.025,≥ 0.095,< 0.065,≥ 0.015,1.785 - 7.205,< 0.075,0.915 - 6.6,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,< 0.002,< 0.0325,≥ 0.3775,< 0.0125,3.381 - 4.813,55.5 - 251.5,130.5 - 710,1,No
0.075 - 1.69,0.075 - 1.77,0.235 - 1.93,< 0.155,0.01 - 0.345,≥ 0.265,≥ 0.01,≥ 0.015,< 0.045,0.045 - 1.955,0.045 - 1.825,0.245 - 0.985,≥ 0.105,0.045 - 1.33,≥ 0.025,≥ 0.095,0.065 - 0.94,≥ 0.015,1.785 - 7.205,< 0.075,0.915 - 6.6,< 0.115,≥ 0.26,≥ 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,0.0795 - 0.3775,≥ 0.1475,≥ 4.813,55.5 - 251.5,≥ 710,1,No
< 0.075,< 0.075,0.235 - 1.93,< 0.155,≥ 0.345,0.075 - 0.265,≥ 0.01,≥ 0.015,≥ 0.045,0.045 - 1.955,0.045 - 1.825,0.245 - 0.985,≥ 0.105,< 0.045,≥ 0.025,< 0.095,< 0.065,≥ 0.015,0.805 - 1.785,≥ 0.075,0.405 - 0.915,< 0.115,≥ 0.26,≥ 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,0.015 - 0.125,0.05 - 0.125,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,0.0795 - 0.3775,≥ 0.1475,≥ 4.813,≥ 251.5,≥ 710,1,No
< 0.075,< 0.075,< 0.235,< 0.155,≥ 0.345,< 0.075,≥ 0.01,≥ 0.015,≥ 0.045,0.045 - 1.955,0.045 - 1.825,0.245 - 0.985,≥ 0.105,< 0.045,< 0.025,≥ 0.095,< 0.065,< 0.015,1.785 - 7.205,< 0.075,< 0.405,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,0.0795 - 0.3775,< 0.0125,3.381 - 4.813,18.5 - 55.5,130.5 - 710,1,No
< 0.075,< 0.075,< 0.235,< 0.155,≥ 0.345,< 0.075,≥ 0.01,≥ 0.015,≥ 0.045,0.045 - 1.955,0.045 - 1.825,0.245 - 0.985,≥ 0.105,< 0.045,< 0.025,≥ 0.095,< 0.065,< 0.015,1.785 - 7.205,< 0.075,< 0.405,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,0.0795 - 0.3775,< 0.0125,3.381 - 4.813,18.5 - 55.5,130.5 - 710,1,No
< 0.075,< 0.075,< 0.235,< 0.155,≥ 0.345,< 0.075,< 0.01,≥ 0.015,< 0.045,< 0.045,< 0.045,< 0.245,< 0.105,< 0.045,< 0.025,< 0.095,< 0.065,< 0.015,< 0.115,< 0.075,< 0.405,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,< 0.005,< 0.0125,2.014 - 3.381,9.5 - 18.5,31.5 - 71.5,1,No
< 0.075,< 0.075,< 0.235,< 0.155,≥ 0.345,< 0.075,< 0.01,< 0.015,< 0.045,0.045 - 1.955,0.045 - 1.825,0.985 - 2.665,< 0.105,< 0.045,< 0.025,≥ 0.095,< 0.065,≥ 0.015,1.785 - 7.205,< 0.075,0.405 - 0.915,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.002 - 0.1105,< 0.0325,0.0795 - 0.3775,0.0125 - 0.0555,1.0535 - 2.014,< 5.5,71.5 - 130.5,1,No
< 0.075,< 0.075,< 0.235,< 0.155,≥ 0.345,< 0.075,< 0.01,≥ 0.015,< 0.045,< 0.045,< 0.045,< 0.245,< 0.105,< 0.045,< 0.025,< 0.095,< 0.065,< 0.015,< 0.115,< 0.075,< 0.405,< 0.115,< 0.125,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,< 0.005,< 0.0125,2.014 - 3.381,9.5 - 18.5,31.5 - 71.5,1,No
0.075 - 1.69,< 0.075,0.235 - 1.93,< 0.155,≥ 0.345,< 0.075,≥ 0.01,< 0.015,≥ 0.045,0.045 - 1.955,0.045 - 1.825,0.245 - 0.985,< 0.105,< 0.045,< 0.025,< 0.095,< 0.065,≥ 0.015,0.805 - 1.785,≥ 0.075,0.915 - 6.6,< 0.115,< 0.125,≥ 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,0.085 - 0.555,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,≥ 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.1105 - 0.2815,< 0.0325,0.0795 - 0.3775,≥ 0.1475,≥ 4.813,≥ 251.5,≥ 710,1,No
< 0.075,0.075 - 1.77,0.235 - 1.93,< 0.155,0.01 - 0.345,≥ 0.265,≥ 0.01,< 0.015,≥ 0.045,< 0.045,< 0.045,0.245 - 0.985,≥ 0.105,< 0.045,≥ 0.025,< 0.095,< 0.065,≥ 0.015,0.805 - 1.785,< 0.075,0.405 - 0.915,< 0.115,0.125 - 0.26,< 0.01,< 0.12,< 0.12,< 0.005,< 0.01,< 0.125,< 0.125,< 0.045,< 0.045,< 0.085,< 0.195,< 0.195,< 0.085,< 0.105,< 0.115,< 1.67,< 0.01,< 0.455,< 0.245,< 0.085,< 0.015,< 0.05,< 0.01,< 0.0725,0.002 - 0.1105,< 0.0325,0.0795 - 0.3775,0.0555 - 0.1475,1.0535 - 2.014,18.5 - 55.5,≥ 710,1,No
