file,rank,slope_rank,random_forest,gini,info_gain,chi2
madelon.csv,slope_rank,15.0,5.0,4.0,4.0,4.0
madelon.csv,random_forest,5.0,15.0,12.0,6.0,11.0
madelon.csv,gini,4.0,12.0,15.0,5.0,11.0
madelon.csv,info_gain,4.0,6.0,5.0,15.0,5.0
madelon.csv,chi2,4.0,11.0,11.0,5.0,15.0
sceneCsvBeach.csv,slope_rank,15.0,10.0,5.0,5.0,3.0
sceneCsvBeach.csv,random_forest,10.0,15.0,5.0,4.0,4.0
sceneCsvBeach.csv,gini,5.0,5.0,15.0,1.0,1.0
sceneCsvBeach.csv,info_gain,5.0,4.0,1.0,15.0,8.0
sceneCsvBeach.csv,chi2,3.0,4.0,1.0,8.0,15.0
semeion.csv,slope_rank,15.0,8.0,4.0,9.0,12.0
semeion.csv,random_forest,8.0,15.0,7.0,11.0,10.0
semeion.csv,gini,4.0,7.0,15.0,4.0,4.0
semeion.csv,info_gain,9.0,11.0,4.0,15.0,12.0
semeion.csv,chi2,12.0,10.0,4.0,12.0,15.0
sonar.csv,slope_rank,15.0,6.0,4.0,6.0,3.0
sonar.csv,random_forest,6.0,15.0,6.0,8.0,11.0
sonar.csv,gini,4.0,6.0,15.0,3.0,4.0
sonar.csv,info_gain,6.0,8.0,3.0,15.0,9.0
sonar.csv,chi2,3.0,11.0,4.0,9.0,15.0
spam.csv,slope_rank,15.0,6.0,7.0,6.0,6.0
spam.csv,random_forest,6.0,15.0,12.0,15.0,12.0
spam.csv,gini,7.0,12.0,15.0,12.0,10.0
spam.csv,info_gain,6.0,15.0,12.0,15.0,12.0
spam.csv,chi2,6.0,12.0,10.0,12.0,15.0
urbanLandCover.csv,slope_rank,15.0,5.0,2.0,3.0,0.0
urbanLandCover.csv,random_forest,5.0,15.0,5.0,9.0,6.0
urbanLandCover.csv,gini,2.0,5.0,15.0,4.0,2.0
urbanLandCover.csv,info_gain,3.0,9.0,4.0,15.0,11.0
urbanLandCover.csv,chi2,0.0,6.0,2.0,11.0,15.0
