file,rank,slope_rank,random_forest,gini,info_gain,chi2
madelon.csv,slope_rank,6.0,3.0,1.0,3.0,2.0
madelon.csv,random_forest,3.0,6.0,3.0,4.0,5.0
madelon.csv,gini,1.0,3.0,6.0,2.0,3.0
madelon.csv,info_gain,3.0,4.0,2.0,6.0,3.0
madelon.csv,chi2,2.0,5.0,3.0,3.0,6.0
sceneCsvBeach.csv,slope_rank,6.0,3.0,2.0,1.0,0.0
sceneCsvBeach.csv,random_forest,3.0,6.0,3.0,2.0,0.0
sceneCsvBeach.csv,gini,2.0,3.0,6.0,1.0,0.0
sceneCsvBeach.csv,info_gain,1.0,2.0,1.0,6.0,1.0
sceneCsvBeach.csv,chi2,0.0,0.0,0.0,1.0,6.0
semeion.csv,slope_rank,6.0,1.0,1.0,1.0,5.0
semeion.csv,random_forest,1.0,6.0,3.0,3.0,2.0
semeion.csv,gini,1.0,3.0,6.0,1.0,2.0
semeion.csv,info_gain,1.0,3.0,1.0,6.0,1.0
semeion.csv,chi2,5.0,2.0,2.0,1.0,6.0
sonar.csv,slope_rank,6.0,0.0,0.0,1.0,0.0
sonar.csv,random_forest,0.0,6.0,2.0,5.0,3.0
sonar.csv,gini,0.0,2.0,6.0,1.0,2.0
sonar.csv,info_gain,1.0,5.0,1.0,6.0,3.0
sonar.csv,chi2,0.0,3.0,2.0,3.0,6.0
spam.csv,slope_rank,6.0,3.0,3.0,3.0,0.0
spam.csv,random_forest,3.0,6.0,4.0,5.0,2.0
spam.csv,gini,3.0,4.0,6.0,3.0,2.0
spam.csv,info_gain,3.0,5.0,3.0,6.0,3.0
spam.csv,chi2,0.0,2.0,2.0,3.0,6.0
urbanLandCover.csv,slope_rank,6.0,3.0,2.0,2.0,0.0
urbanLandCover.csv,random_forest,3.0,6.0,3.0,4.0,3.0
urbanLandCover.csv,gini,2.0,3.0,6.0,3.0,1.0
urbanLandCover.csv,info_gain,2.0,4.0,3.0,6.0,3.0
urbanLandCover.csv,chi2,0.0,3.0,1.0,3.0,6.0
