k,rank,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
k10,chi2,2.5,5.0,3.3333333333333335,3.8333333333333335,10.0,2.5,5.0,5.333333333333333,4.666666666666667,4.666666666666667
k10,gini,2.5,4.833333333333333,10.0,6.0,3.3333333333333335,3.0,4.166666666666667,4.5,4.333333333333333,4.666666666666667
k10,info_gain,2.5,4.333333333333333,6.0,10.0,3.8333333333333335,3.1666666666666665,3.8333333333333335,4.0,4.0,4.166666666666667
k10,random_forest,3.6666666666666665,10.0,4.833333333333333,4.333333333333333,5.0,2.8333333333333335,5.166666666666667,5.833333333333333,4.0,3.8333333333333335
k10,slope_rank,10.0,3.6666666666666665,2.5,2.5,2.5,5.166666666666667,5.166666666666667,5.0,3.6666666666666665,3.8333333333333335
k10,slope_rank_gb,5.166666666666667,2.8333333333333335,3.0,3.1666666666666665,2.5,10.0,4.333333333333333,3.8333333333333335,5.833333333333333,6.0
k10,slope_rank_gb_minmax,3.8333333333333335,3.8333333333333335,4.666666666666667,4.166666666666667,4.666666666666667,6.0,6.166666666666667,5.666666666666667,8.666666666666666,10.0
k10,slope_rank_gb_std,3.6666666666666665,4.0,4.333333333333333,4.0,4.666666666666667,5.833333333333333,5.5,5.5,10.0,8.666666666666666
k10,slope_rank_minmax,5.166666666666667,5.166666666666667,4.166666666666667,3.8333333333333335,5.0,4.333333333333333,10.0,7.333333333333333,5.5,6.166666666666667
k10,slope_rank_std,5.0,5.833333333333333,4.5,4.0,5.333333333333333,3.8333333333333335,7.333333333333333,10.0,5.5,5.666666666666667
k12,chi2,3.3333333333333335,7.0,4.166666666666667,4.333333333333333,12.0,3.0,6.333333333333333,7.166666666666667,5.833333333333333,5.5
k12,gini,3.3333333333333335,6.0,12.0,7.166666666666667,4.166666666666667,3.3333333333333335,4.833333333333333,5.666666666666667,4.833333333333333,5.0
k12,info_gain,3.6666666666666665,5.666666666666667,7.166666666666667,12.0,4.333333333333333,4.0,4.833333333333333,5.333333333333333,5.0,5.166666666666667
k12,random_forest,5.0,12.0,6.0,5.666666666666667,7.0,4.0,6.833333333333333,7.0,5.5,5.0
k12,slope_rank,12.0,5.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,6.166666666666667,6.333333333333333,6.166666666666667,4.5,4.5
k12,slope_rank_gb,6.166666666666667,4.0,3.3333333333333335,4.0,3.0,12.0,5.0,4.333333333333333,7.166666666666667,6.833333333333333
k12,slope_rank_gb_minmax,4.5,5.0,5.0,5.166666666666667,5.5,6.833333333333333,7.5,7.0,10.0,12.0
k12,slope_rank_gb_std,4.5,5.5,4.833333333333333,5.0,5.833333333333333,7.166666666666667,7.0,7.333333333333333,12.0,10.0
k12,slope_rank_minmax,6.333333333333333,6.833333333333333,4.833333333333333,4.833333333333333,6.333333333333333,5.0,12.0,9.333333333333334,7.0,7.5
k12,slope_rank_std,6.166666666666667,7.0,5.666666666666667,5.333333333333333,7.166666666666667,4.333333333333333,9.333333333333334,12.0,7.333333333333333,7.0
k15,chi2,4.333333333333333,8.833333333333334,5.666666666666667,5.666666666666667,15.0,4.666666666666667,8.666666666666666,9.666666666666666,7.666666666666667,7.333333333333333
k15,gini,4.5,8.333333333333334,15.0,8.833333333333334,5.666666666666667,4.0,6.166666666666667,7.0,6.0,5.833333333333333
k15,info_gain,4.666666666666667,7.833333333333333,8.833333333333334,15.0,5.666666666666667,4.666666666666667,5.833333333333333,6.666666666666667,6.0,6.0
k15,random_forest,6.166666666666667,15.0,8.333333333333334,7.833333333333333,8.833333333333334,5.666666666666667,8.666666666666666,9.5,7.333333333333333,7.166666666666667
k15,slope_rank,15.0,6.166666666666667,4.5,4.666666666666667,4.333333333333333,7.0,8.166666666666666,7.5,6.0,5.666666666666667
k15,slope_rank_gb,7.0,5.666666666666667,4.0,4.666666666666667,4.666666666666667,15.0,6.5,6.5,9.833333333333334,10.0
k15,slope_rank_gb_minmax,5.666666666666667,7.166666666666667,5.833333333333333,6.0,7.333333333333333,10.0,8.666666666666666,9.333333333333334,13.166666666666666,15.0
k15,slope_rank_gb_std,6.0,7.333333333333333,6.0,6.0,7.666666666666667,9.833333333333334,8.666666666666666,9.666666666666666,15.0,13.166666666666666
k15,slope_rank_minmax,8.166666666666666,8.666666666666666,6.166666666666667,5.833333333333333,8.666666666666666,6.5,15.0,11.5,8.666666666666666,8.666666666666666
k15,slope_rank_std,7.5,9.5,7.0,6.666666666666667,9.666666666666666,6.5,11.5,15.0,9.666666666666666,9.333333333333334
k20,chi2,7.0,12.666666666666666,7.666666666666667,7.333333333333333,20.0,8.0,12.333333333333334,13.166666666666666,10.333333333333334,10.166666666666666
k20,gini,6.5,11.0,20.0,10.833333333333334,7.666666666666667,6.0,8.5,8.666666666666666,8.166666666666666,7.666666666666667
k20,info_gain,6.333333333333333,10.833333333333334,10.833333333333334,20.0,7.333333333333333,6.666666666666667,7.333333333333333,8.5,8.333333333333334,7.666666666666667
k20,random_forest,8.666666666666666,20.0,11.0,10.833333333333334,12.666666666666666,8.166666666666666,13.166666666666666,14.166666666666666,10.5,10.333333333333334
k20,slope_rank,20.0,8.666666666666666,6.5,6.333333333333333,7.0,9.166666666666666,10.5,10.5,8.5,8.5
k20,slope_rank_gb,9.166666666666666,8.166666666666666,6.0,6.666666666666667,8.0,20.0,9.5,10.166666666666666,14.166666666666666,14.5
k20,slope_rank_gb_minmax,8.5,10.333333333333334,7.666666666666667,7.666666666666667,10.166666666666666,14.5,11.833333333333334,12.5,17.666666666666668,20.0
k20,slope_rank_gb_std,8.5,10.5,8.166666666666666,8.333333333333334,10.333333333333334,14.166666666666666,11.666666666666666,13.166666666666666,20.0,17.666666666666668
k20,slope_rank_minmax,10.5,13.166666666666666,8.5,7.333333333333333,12.333333333333334,9.5,20.0,16.0,11.666666666666666,11.833333333333334
k20,slope_rank_std,10.5,14.166666666666666,8.666666666666666,8.5,13.166666666666666,10.166666666666666,16.0,20.0,13.166666666666666,12.5
k6,chi2,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,6.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.1666666666666665,2.0
k6,gini,1.5,2.5,6.0,3.5,1.6666666666666667,1.5,2.5,2.0,2.6666666666666665,2.5
k6,info_gain,1.6666666666666667,2.3333333333333335,3.5,6.0,1.6666666666666667,2.0,2.3333333333333335,1.8333333333333333,2.1666666666666665,2.1666666666666665
k6,random_forest,2.3333333333333335,6.0,2.5,2.3333333333333335,2.0,1.5,3.0,3.0,2.1666666666666665,2.1666666666666665
k6,slope_rank,6.0,2.3333333333333335,1.5,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.6666666666666665,2.8333333333333335,2.0,2.0
k6,slope_rank_gb,3.3333333333333335,1.5,1.5,2.0,0.6666666666666666,6.0,2.1666666666666665,2.3333333333333335,2.8333333333333335,3.1666666666666665
k6,slope_rank_gb_minmax,2.0,2.1666666666666665,2.5,2.1666666666666665,2.0,3.1666666666666665,3.6666666666666665,3.3333333333333335,5.5,6.0
k6,slope_rank_gb_std,2.0,2.1666666666666665,2.6666666666666665,2.1666666666666665,2.1666666666666665,2.8333333333333335,3.6666666666666665,3.3333333333333335,6.0,5.5
k6,slope_rank_minmax,2.6666666666666665,3.0,2.5,2.3333333333333335,2.3333333333333335,2.1666666666666665,6.0,4.0,3.6666666666666665,3.6666666666666665
k6,slope_rank_std,2.8333333333333335,3.0,2.0,1.8333333333333333,2.3333333333333335,2.3333333333333335,4.0,6.0,3.3333333333333335,3.3333333333333335
k7,chi2,1.3333333333333333,2.5,2.0,2.1666666666666665,7.0,1.0,3.0,2.8333333333333335,2.6666666666666665,2.3333333333333335
k7,gini,1.5,3.0,7.0,4.333333333333333,2.0,1.8333333333333333,2.8333333333333335,2.3333333333333335,3.0,2.6666666666666665
k7,info_gain,1.8333333333333333,3.1666666666666665,4.333333333333333,7.0,2.1666666666666665,2.0,2.8333333333333335,2.1666666666666665,2.8333333333333335,2.5
k7,random_forest,2.5,7.0,3.0,3.1666666666666665,2.5,2.0,3.6666666666666665,3.1666666666666665,2.6666666666666665,2.3333333333333335
k7,slope_rank,7.0,2.5,1.5,1.8333333333333333,1.3333333333333333,4.333333333333333,3.3333333333333335,3.1666666666666665,2.8333333333333335,2.5
k7,slope_rank_gb,4.333333333333333,2.0,1.8333333333333333,2.0,1.0,7.0,3.1666666666666665,2.8333333333333335,3.6666666666666665,3.8333333333333335
k7,slope_rank_gb_minmax,2.5,2.3333333333333335,2.6666666666666665,2.5,2.3333333333333335,3.8333333333333335,4.166666666666667,3.6666666666666665,6.0,7.0
k7,slope_rank_gb_std,2.8333333333333335,2.6666666666666665,3.0,2.8333333333333335,2.6666666666666665,3.6666666666666665,4.166666666666667,3.8333333333333335,7.0,6.0
k7,slope_rank_minmax,3.3333333333333335,3.6666666666666665,2.8333333333333335,2.8333333333333335,3.0,3.1666666666666665,7.0,4.666666666666667,4.166666666666667,4.166666666666667
k7,slope_rank_std,3.1666666666666665,3.1666666666666665,2.3333333333333335,2.1666666666666665,2.8333333333333335,2.8333333333333335,4.666666666666667,7.0,3.8333333333333335,3.6666666666666665
k8,chi2,1.6666666666666667,3.5,2.0,2.5,8.0,1.3333333333333333,3.5,3.6666666666666665,2.8333333333333335,2.8333333333333335
k8,gini,2.1666666666666665,3.6666666666666665,8.0,4.833333333333333,2.0,2.3333333333333335,3.0,2.8333333333333335,3.5,3.1666666666666665
k8,info_gain,2.0,3.8333333333333335,4.833333333333333,8.0,2.5,2.5,3.0,2.8333333333333335,3.8333333333333335,3.1666666666666665
k8,random_forest,3.1666666666666665,8.0,3.6666666666666665,3.8333333333333335,3.5,2.3333333333333335,3.8333333333333335,3.8333333333333335,2.8333333333333335,2.8333333333333335
k8,slope_rank,8.0,3.1666666666666665,2.1666666666666665,2.0,1.6666666666666667,4.666666666666667,4.0,3.5,3.0,3.1666666666666665
k8,slope_rank_gb,4.666666666666667,2.3333333333333335,2.3333333333333335,2.5,1.3333333333333333,8.0,3.5,3.1666666666666665,4.5,4.333333333333333
k8,slope_rank_gb_minmax,3.1666666666666665,2.8333333333333335,3.1666666666666665,3.1666666666666665,2.8333333333333335,4.333333333333333,4.833333333333333,4.333333333333333,7.0,8.0
k8,slope_rank_gb_std,3.0,2.8333333333333335,3.5,3.8333333333333335,2.8333333333333335,4.5,4.666666666666667,4.166666666666667,8.0,7.0
k8,slope_rank_minmax,4.0,3.8333333333333335,3.0,3.0,3.5,3.5,8.0,5.5,4.666666666666667,4.833333333333333
k8,slope_rank_std,3.5,3.8333333333333335,2.8333333333333335,2.8333333333333335,3.6666666666666665,3.1666666666666665,5.5,8.0,4.166666666666667,4.333333333333333
